국가,국가 코드,차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Mexico Plant,KMX,K4,0,0,0,10,3,20,2,"12,325","16,329","18,439","16,824","13,274",2024
Mexico Plant,KMX,Tucson(NX4),0,0,0,0,0,809,"2,378","2,821","2,637","3,048","2,700","2,097",2024
India Plant,KIN,Sonet,"11,843","9,240","8,829","8,821","8,270","11,212","10,199","11,390","11,564","11,126","10,626","4,567",2024
India Plant,KIN,Seltos,"6,695","6,825","8,568","7,298","7,218","7,024","6,279","6,929","7,232","6,544","5,643","3,211",2024
India Plant,KIN,Carens MPV,"6,536","5,440","5,704","6,048","6,300","6,246","6,512","6,775","6,721","6,820","6,093","3,165",2024
India Plant,KIN,Carnival,0,0,0,0,0,0,0,0,0,255,241,103,2024
US Plant,KaGA,K5,0,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Sportage,"9,247",0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Sorento,"8,300",0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Telluride,"10,350",0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,EV6,103,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,EV9,300,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Pegas,"3,638",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Forte,"1,134",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,K3,401,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,K5,361,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX1,"1,510",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Sonet,"2,397",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX3,"3,446",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Zhipao,139,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,EV5,699,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX5,"1,875",0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Carnival,99,0,0,0,0,0,0,0,0,0,0,0,2025
