차종,차량 구분,거래 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
 Millitary,특수 차량,수출,0.0,0.0,21.0,100.0,110.0,30.0,0.0,0.0,0.0,0.0,63.0,30.0,2023
 Bongo,특수 차량,수출,141.0,36.0,15.0,35.0,107.0,277.0,192.0,180.0,213.0,186.0,94.0,81.0,2023
 Bus,특수 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2023
Morning,일반 차량,국내,"1,214","1,140","1,416","1,421",907,985,"1,335",910,968,"1,464","1,467","2,608",2024
Ray,일반 차량,국내,"4,130","3,972","4,692","4,460","4,456","3,574","4,384","3,710","3,363","3,278","4,753","4,219",2024
K3,일반 차량,국내,"1,419","1,315","1,460","1,336",995,"1,341","1,373",588,4,0,0,0,2024
K5,일반 차량,국내,"3,336","2,970","3,577","3,168","2,405","2,932","2,702","2,690","2,277","3,030","2,645","2,105",2024
EV4,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2024
K7 / K8,일반 차량,국내,"2,917","2,165","2,016","1,988","1,873","1,519","1,154","2,711","4,724","4,977","4,336","2,354",2024
K9,일반 차량,국내,175,191,140,253,282,160,202,177,163,127,99,240,2024
Seltos,일반 차량,국내,"3,944","3,967","4,748","5,025","6,120","5,399","5,489","5,551","4,433","6,822","4,887","5,512",2024
EV3,일반 차량,국내,0,0,0,0,0,0,"1,975","4,002","2,022","2,107","2,284",461,2024
Niro,일반 차량,국내,"1,239",940,"1,051","1,815","1,709","1,333","1,199","1,109",870,958,"1,162","1,185",2024
Niro Plus,일반 차량,국내,2,0,86,123,67,65,14,43,3,3,1,1,2024
EV6,일반 차량,국내,29,155,"1,275","1,036","1,380","1,430","1,344",599,324,557,770,155,2024
Sportage,일반 차량,국내,"5,934","6,991","6,736","7,179","6,644","5,815","6,235","5,988","4,541","5,531","4,233","8,428",2024
Sorento,일반 차량,국내,"9,284","8,671","8,974","7,865","7,487","7,307","7,596","3,502","6,628","7,962","10,434","8,828",2024
Mohave,일반 차량,국내,291,241,298,257,224,288,197,204,118,98,78,0,2024
EV9,일반 차량,국내,449,124,183,174,182,113,161,92,122,159,144,109,2024
Carnival,일반 차량,국내,"7,049","7,989","7,643","6,879","7,211","8,097","7,050","5,534","4,900","5,645","7,516","7,235",2024
Bongo,일반 차량,국내,"3,074","3,077","4,584","4,404","4,050","3,523","3,487","2,990","2,586","3,183","3,083","2,498",2024
Bus,일반 차량,국내,122,100,127,122,118,122,113,110,94,124,123,132,2024
Military,특수 차량,국내,75,68,106,126,125,281,228,174,129,385,177,262,2024
Bongo,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2024
Bus,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2024
Morning / Picanto,일반 차량,수출(CKD 제외),"9,795","8,361","9,050","9,243","10,810","10,122","9,786","8,852","7,989","11,172","10,298","8,975",2024
Pride / Rio,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
K3,일반 차량,수출(CKD 제외),"2,387","2,483","2,368","3,760","3,541","3,162","2,862","1,324",40,136,100,100,2024
K5 / Optima,일반 차량,수출(CKD 제외),"1,139",835,"4,058","7,410","9,023","8,467","8,720","7,801","7,125","5,934","2,053","8,328",2024
EV4,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,2,2024
Stinger,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
K7 / K8 / Cadenza,일반 차량,수출(CKD 제외),288,144,115,309,321,103,10,0,0,49,5,115,2024
K9,일반 차량,수출(CKD 제외),0,0,8,0,6,65,0,0,0,0,0,0,2024
Stonic,일반 차량,수출(CKD 제외),"6,703","6,191","8,218","6,326","7,850","7,061","6,751","6,879","6,252","7,473","6,159","6,917",2024
EV3,일반 차량,수출(CKD 제외),0,2,0,3,4,20,2,"1,424","6,158","7,993","9,098","8,500",2024
Seltos,일반 차량,수출(CKD 제외),"10,285","9,445","9,129","10,435","7,970","8,683","8,261","7,561","5,641","6,032","4,060","9,534",2024
Soul,일반 차량,수출(CKD 제외),"6,594","5,008","6,049","5,712","5,361","5,312","5,240","4,814","3,167","4,551","2,402","5,810",2024
Niro,일반 차량,수출(CKD 제외),"12,662","9,797","11,168","11,179","9,074","10,854","8,502","6,710","9,245","9,235","8,671","7,333",2024
Niro Plus,일반 차량,수출(CKD 제외),200,0,14,0,0,3,0,1,0,0,0,152,2024
EV5,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
EV6,일반 차량,수출(CKD 제외),"8,137","6,545","7,166","4,692","4,701","2,051","2,679","1,426",897,"1,415","1,461","1,318",2024
Sportage,일반 차량,수출(CKD 제외),"14,744","10,842","11,500","12,798","12,165","12,553","11,618","12,049","8,153","10,279","8,303","11,529",2024
Sorento,일반 차량,수출(CKD 제외),"5,417","6,470","5,904","8,810","7,834","7,844","7,509","3,670","5,746","6,789","5,816","6,733",2024
Mohave / Borrego,일반 차량,수출(CKD 제외),0,54,33,90,0,3,0,114,0,0,0,0,2024
EV9,일반 차량,수출(CKD 제외),"4,496","2,527","3,371","1,817","2,578","1,484","1,702","1,322","1,178",925,740,553,2024
New Carens,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
Carnival / Sedona,일반 차량,수출(CKD 제외),"6,291","4,627","5,423","9,705","7,521","7,831","8,373","9,224","6,673","8,977","5,040","8,285",2024
Bongo,일반 차량,수출(CKD 제외),"4,491","3,247","4,445","2,920","2,918","3,067","3,057","2,897","2,704","3,111","3,104","2,961",2024
Tasman,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,3,1,9,3,2024
Bus,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
Military,특수 차량,수출(CKD 제외),10,3,25,52,14,50,51,0,0,0,57,68,2024
Bongo,특수 차량,수출(CKD 제외),1,51,23,24,3,5,4,117,119,10,21,104,2024
Bus,특수 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,4,0,0,2024
 Morning,일반 차량,국내,1484,0,0,0,0,0,0,0,0,0,0,0,2025
